N/A,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,NSE:ACC,NSE:ADANIPORTS,NSE:AMBUJACEM,NSE:ASIANPAINT,NSE:AXISBANK,NSE:BAJAJ-AUTO,NSE:BANKBARODA,NSE:BHARTIARTL,NSE:BHEL,NSE:BOSCHLTD,NSE:BPCL,NSE:CAIRN,NSE:CIPLA,NSE:COALINDIA,NSE:DRREDDY,NSE:GAIL,NSE:GRASIM,NSE:HCLTECH,NSE:HDFC,NSE:HDFCBANK,NSE:HEROMOTOCO,NSE:HINDALCO,NSE:HINDUNILVR,NSE:ICICIBANK,NSE:IDEA,NSE:INDUSINDBK,NSE:INFY,NSE:ITC,NSE:KOTAKBANK,NSE:LT,NSE:LUPIN,NSE:M&M,NSE:MARUTI,NSE:NTPC,NSE:ONGC,NSE:PNB,NSE:POWERGRID,NSE:RELIANCE,NSE:SBIN,NSE:SUNPHARMA,NSE:TATAMOTORS,NSE:TATAPOWER,NSE:TATASTEEL,NSE:TCS,NSE:TECHM,NSE:ULTRACEMCO,NSE:VEDL,NSE:WIPRO,NSE:YESBANK,NSE:ZEEL,Z74.SI,S58.SI,U14.SI,D05.SI,O39.SI,U11.SI,F34.SI,BN4.SI,H78.SI,G13.SI,C07.SI,C31.SI,C6L.SI,Y92.SI,MC0.SI,C09.SI,S63.SI,S51.SI,U96.SI,E5H.SI,C61U.SI,S68.SI,C38U.SI,A17U.SI,T39.SI,CC3.SI,BS6.SI,S59.SI,C52.SI,EB5.SI,S08.SI,T82U.SI,K71U.SI,N03.SI,JOBS,ATV,ACTS,GRO,AMCN,ACH,ATAI,BIDU,CYOU,CPC,STV,DL,CEA,JRJC,LFC,CMM,CHL,CEO,SNP,ZNH,CNTF,CHA,CHU,CISG,CTRP,EJ,GSH,HNP,JASO,NTES,EDU,PTR,SOL,SHI,NCTY,TCM,TSL,VISN,XIN,YZC,YGE
NSE:AXISBANK,0.0000349,0.0000901,0.0000503,0.0000953,0.000134434,-0.0000723,-0.0000644,-0.0000731,0.000286214,-0.0000388,0.00000401,-0.0000665,-0.000353751,-0.00000151,-0.000223268,-0.000514061,0.000317482,-0.000473093,0.0000707,0.0000881,-0.000512729,-0.0000478,-0.000195027,0.000151265,0.0000364,0.0000547,-0.000361774,-0.0000724,-0.0000806,0.00009,0.001263351,0.001600822,0.001178118,0.000701655,0.016793875,0.000664736,0.000474487,0.0000612,0.001727955,0.000608588,0.001318477,0.000151742,0.000389618,0.001188956,-0.0000142,0.000923437,0.00099273,0.000190145,0.000954761,0.000946353,0.000550354,0.001368851,-0.000380002,0.001472752,-0.000100238,0.001337946,0.0000579,0.000460708,0.001094383,0.002344532,0.000104796,0.000848517,0.000651765,0.001169889,0.001242019,0.001299552,0.001031377,0.000891411,0.001724825,0.00039607,0.001229399,0.001425021,0.001220215,0.000292576,0.000388382,0.000948714,0.001141486,0.00020919,0.002117768,0.00048238,-0.000119055,0.000224613,0.00022778,-0.0000469,-0.00000845,0.0000405,-0.000133439,0.0000948,-0.000350691,-0.000403137,0.000330631,-0.000075,-0.000126516,-0.000200047,0.000275689,0.000105491,0.000213098,0.0000446,0.0000652,-0.000515539,-0.0000953,-0.0000627,-0.000124524,-0.0000221,-0.0000436,-0.000103611,-0.0000184,0.0000557,0.000231228,-0.000282153,0.0000442,0.000163221,0.000128771,-0.000059,0.0000747,0.000792332,-0.000249066,-0.000890589,0.000262678,-0.000460426,-0.000604236,-0.00032525,0.000643665,0.00617298,-0.0000304,0.000337112,0.000369323,-0.000209502,0.00026805,-0.001482841,-0.000565029,0.0000299,0.0000618,-0.000187484,-0.00000822,-0.000402757,-0.000282514,0.000260613,0.00036822,0.0000914,0.000019,0.000035,0.000403956,-0.00038714,0.000802441,-0.000122521,0.000411593,-0.000261325,-0.002025245,-0.00022138,-0.0000554,0.001519189,-0.00004,0.000249934,-0.000139215
NSE:BAJAJ-AUTO,-0.0000926,-0.0000275,-0.000114696,-0.00000619,-0.0000155,-0.0000141,-0.000106287,-0.0000501,-0.0000229,0.0000238,0.0000267,-0.0000616,-0.0000314,-0.0000466,0.0000827,-0.000065,-0.0000241,-0.00000726,-0.0000785,-0.0000625,-0.0000986,0.00000181,-0.000129669,-0.0000641,-0.0000375,-0.0000518,-0.0000759,0.00000489,0.0000244,-0.0000232,0.000563756,0.000574439,0.000513069,0.001178453,0.000664736,0.00114349,0.000488915,0.000405371,0.000741237,0.000445526,0.000387699,0.000434504,0.000451064,0.000285616,0.000365345,0.000583897,0.000510129,0.000137862,0.00046095,0.000348226,0.000708528,0.000727638,0.000194199,0.000693926,0.00029092,0.000485446,0.000108836,0.000298446,0.000445678,0.00058185,0.000231671,0.000385412,0.000439243,0.000304865,0.000416932,0.000811695,0.000396035,0.000403179,0.000549172,0.000280698,0.000635543,0.000527943,0.000473383,0.000263843,0.000290587,0.000582749,0.000672817,0.0000886,0.000534962,0.000446101,-0.00000727,0.0000228,-0.0000371,-0.0000647,-0.0000365,-0.000047,0.0000962,0.0000619,-0.0000756,-0.0000085,0.000058,0.00000218,-0.0000537,-0.0000975,-0.0000942,-0.0000231,-0.000104052,0.0000732,-0.00000618,-0.0000395,-0.0000385,-0.0000551,-0.0000269,-0.0000596,0.0000414,0.0000836,-0.000134685,-0.0000247,0.00000218,0.0000421,-0.00000724,0.0000329,-0.00000774,-0.0000973,-0.000041,0.000274072,-0.000112695,-0.00000768,-0.000196896,0.0000578,0.0000584,-0.0000336,0.000234267,0.0001426,-0.000000642,-0.0000661,0.000190707,0.000216016,0.000202494,-0.000483763,0.0000723,-0.0000145,0.0000655,0.000118629,0.000110902,-0.0000799,0.00010483,0.000403536,-0.00000465,0.000359525,-0.0000525,0.000085,0.000289556,0.0000942,0.0000706,0.0000253,0.000509545,0.000259442,0.000244764,-0.0000204,0.000417415,-0.000478135,0.0000335,-0.0000307,0.000629467
NSE:BANKBARODA,0.000267536,0.000360576,-0.000294985,0.0000786,0.00059476,0.000346029,-0.0000481,-0.00009,0.0000556,0.000201986,0.000248253,0.000419275,0.000471367,-0.000114869,0.000317768,-0.0000433,-0.0000266,0.000427628,-0.0000417,-0.000718464,-0.000140775,-0.000165688,-0.000442164,0.000102254,0.000107467,0.0000855,-0.000239588,0.00013422,0.00026951,-0.000292875,0.000919095,0.001302835,0.000501901,0.002719796,0.000474487,0.000488915,0.016810633,-0.000308015,0.001546227,0.000583847,0.00099101,-0.0000557,0.00016483,0.000698192,0.0000735,0.000919964,0.000650451,-0.000150332,0.0000789,0.000478746,0.001065606,0.001074553,0.000254077,0.001234908,-0.0000815,0.001113897,-0.000311131,0.000779369,0.001195015,0.000762463,-0.0000375,0.000522986,0.001077357,0.000759255,0.000964499,0.002844664,0.000878517,0.000544,0.001460466,-0.000685654,0.00000345,0.000423266,0.000987048,0.000175388,0.00036105,0.000719344,0.000815535,-0.000791428,0.001173976,0.000514161,-0.000087,-0.0000619,0.000113821,0.0000501,-0.00026958,-0.000106797,-0.00000821,0.000109991,0.0000542,0.00015483,0.000116657,0.000158555,-0.0000309,0.000235809,0.000178226,-0.0000428,0.0000572,0.000160146,0.000138671,-0.000145745,-0.0000656,-0.0000672,-0.000145512,-0.0000671,-0.000022,-0.0000193,0.000200041,0.000317557,0.0000522,-0.00027934,0.000097,-0.000135926,-0.0000926,0.0000219,0.000173123,0.001152027,-0.000399966,-0.000352264,0.000179019,-0.000895644,0.000419489,-0.0000164,0.000530649,-0.006285765,-0.000824054,-0.0000588,-0.000611264,0.000282655,0.0000696,-0.00092734,-0.000386982,0.0000718,0.000200517,-0.001096692,-0.000335284,0.000132074,-0.000454515,-0.00130627,-0.0000718,0.0000825,0.000458636,0.000327253,0.000627757,-0.000267617,-0.000163737,-0.000112015,0.00114759,0.000155165,0.000402443,0.000435383,0.000974118,0.000880825,0.00020431,0.000180547,0.001370362
NSE:BHARTIARTL,0.000065,-0.000036,-0.000101779,-0.000102679,0.0000455,0.000104403,0.0000857,0.000117842,0.0000553,0.0000731,0.0000363,0.0000482,0.0000406,0.0000717,0.0000552,0.0000357,0.0000982,0.0000107,0.0000613,0.0000445,0.0000491,0.0000234,-0.0000168,0.0000889,0.000056,0.0000557,0.0000125,0.0000642,0.0000193,0.0000912,0.000398068,0.000275917,0.000447033,-0.000000325,0.0000612,0.000405371,-0.000308015,0.001458638,0.000491342,0.000240971,0.000424498,0.000422644,0.000121759,0.000423602,-0.00000875,0.000500053,0.000455162,-0.00012313,0.000376484,0.000253862,0.000494558,0.00053289,0.000289938,0.000822372,0.001079177,0.00030311,-0.0000104,0.000282732,0.000294506,0.000468319,0.000249669,0.000270827,0.000367539,0.00050182,0.000536706,0.000764895,0.000308873,0.000416428,0.000261128,0.0000431,0.000496843,0.000357817,0.000469238,0.0000633,0.000173101,0.000335684,0.000624642,-0.0000147,0.000728457,0.000250644,0.0000268,0.0000547,0.0000881,-0.000105914,0.00000885,0.0000328,0.000136633,-0.0000341,0.0000257,0.000059,0.000263361,0.0000858,0.0000405,0.0000604,-0.0000582,0.0000261,0.0000266,0.0000904,-0.0000252,-0.000104593,0.00000663,-0.0000384,0.0000536,0.0000243,-0.0000168,0.0000365,-0.000105445,0.0000276,0.00000384,0.000118289,-0.0000499,0.000150097,0.0000143,0.0000322,0.0000523,0.00033783,-0.000116016,0.000215739,-0.000599544,0.000224736,-0.000261005,0.0000655,-0.0000149,0.000822899,-0.000164521,-0.000306669,0.000161508,-0.0000879,0.0000588,0.000165283,0.000176996,0.000155299,0.000194762,0.000223733,0.000259649,0.000159757,0.000224646,0.000207798,0.0002849,0.0001193,-0.0000514,0.000105218,-0.0000482,-0.000142448,0.0000575,0.000260099,0.00036447,0.000291979,0.0000173,-0.000106214,-0.000348272,0.000304679,0.000169799,0.000149268,0.000147842
NSE:BHEL,0.00000495,0.00011925,-0.0000488,0.000140149,0.0000701,0.000164528,-0.0000795,-0.00000565,0.000243025,0.0000279,0.000187165,-0.0000766,0.000100511,0.00000379,0.00021976,-0.000017,-0.0000804,-0.0000699,0.00000121,0.0000686,-0.000082,0.0000116,-0.000140487,0.00000672,0.0000435,0.0000199,0.0000777,-0.0000446,-0.0000326,-0.0000234,0.000869741,0.001442828,0.000918525,0.001341864,0.001727955,0.000741237,0.001546227,0.000491342,0.004224215,0.000951072,0.001489528,0.000616773,0.000544589,0.000824514,0.000246612,0.001188001,0.000851225,0.000224535,0.000974168,0.000901217,0.00077738,0.001566429,0.000185211,0.002144204,0.000424846,0.001505364,0.0000465,0.000460585,0.000977261,0.00170233,0.000362164,0.000620493,0.00082382,0.000810515,0.001312417,0.00184096,0.000902031,0.000901167,0.001577792,0.000135717,0.000994265,0.001548476,0.001358123,0.00025859,0.000251633,0.00082828,0.00151279,-0.0000139,0.001898496,0.000604145,0.000134485,-0.000133273,0.000267414,-0.00000719,0.0000826,0.0000626,0.000176086,0.000168251,0.00006,0.000236675,0.000298244,0.000254953,0.00000254,-0.0000578,0.000321918,0.000247033,-0.0000585,0.000107246,0.000461384,-0.0000182,0.000164216,-0.0000183,0.000123398,-0.0000641,0.0000598,0.0000841,0.000112078,0.000195498,0.000140867,0.000162542,0.0000849,0.0000039,0.000160221,0.0000755,0.000101644,0.000789658,0.000199733,0.000208635,-0.000243649,0.000240062,0.000115737,-0.0000421,-0.0000776,-0.001091499,-0.0000584,-0.000333513,0.000127115,-0.000292611,0.000464172,-0.000239758,0.0000954,0.000248252,0.000368892,0.0000344,-0.000297672,-0.0000719,0.0000438,-0.000207939,0.000220886,0.000408278,0.000201601,-0.000000564,0.000159544,0.000317187,0.000063,0.000346067,0.001124745,0.000424347,0.0000571,-0.000204764,0.000491394,-0.000270123,-0.000727005,0.000382686,0.000507042
NSE:BOSCHLTD,0.0000441,0.00010297,-0.0000925,0.000057,0.000028,0.000160538,-0.0000168,0.0000275,-0.0000202,0.0000652,0.000138002,-0.0000769,-0.0000271,-0.0000903,0.0000772,-0.0000727,-0.0000354,-0.0000531,-0.0000243,-0.0000845,-0.000203441,-0.0000107,-0.000179536,0.0000136,0.0000912,-0.0000615,-0.00013607,0.0000107,0.0000489,0.0000605,0.00036153,0.000596716,0.000403045,0.000446945,0.000608588,0.000445526,0.000583847,0.000240971,0.000951072,0.001767636,0.000346869,0.000284311,0.000456076,0.000383035,0.000370146,0.000292152,0.000346125,0.000209448,0.000434852,0.000303603,0.0003728,0.000630874,0.000252408,0.00000225,0.000275636,0.000411635,0.0000202,0.000373682,0.00033062,0.000569417,0.000227317,0.000361819,0.000530671,0.000526257,0.000346537,0.001385622,0.000442203,0.000338599,-0.000330377,0.000315351,0.000576166,0.000600055,0.000462432,0.000133679,0.000184755,0.00036121,0.000799384,0.000228413,0.000613983,0.000395776,-0.0000229,-0.0000338,0.0000765,-0.0000831,-0.0000939,-0.0000455,0.000032,0.00000877,-0.000149142,0.0000661,0.000149834,0.0000202,0.0000441,-0.000238979,-0.0000179,0.0000919,-0.0000258,0.000037,0.0000414,-0.0000308,-0.000028,-0.0000397,-0.0000661,-0.000190398,-0.0000261,-0.0000336,-0.0000345,0.000138055,0.0000775,0.00000617,-0.0000329,0.000035,0.0000124,0.000016,0.0000113,0.000172578,-0.000278003,-0.000140959,-0.000855319,-0.00014164,-0.000117739,-0.000153413,0.000202823,-0.000543762,0.000134951,-0.0000965,-0.000252653,-0.000617474,-0.000537465,-0.000273876,-0.000035,0.0000426,-0.0000617,-0.000382132,-0.000332057,-0.000297099,-0.0000391,0.000377425,-0.0000387,-0.000100254,-0.000114932,-0.00025706,0.000262529,0.0000591,-0.0000738,-0.0000811,0.000334305,-0.000209626,-0.000213211,-0.0000764,0.000182889,-0.000121321,-0.000153476,-0.000253041,0.00022346
NSE:BPCL,0.0000337,0.0000577,0.0000113,0.000178521,-0.00000765,0.0000719,-0.0000128,0.0000428,0.0000855,0.00000967,0.0000634,-0.0000103,0.0000847,0.00000805,0.0000016,0.000017,0.000022,-0.0000356,-0.0000513,0.0000607,-0.0000294,-0.0000903,-0.0000362,0.0000425,0.000105224,0.00000967,-0.0000538,0.0000262,0.0000754,-0.00004,0.000781673,0.001007286,0.000714427,0.002738952,0.001318477,0.000387699,0.00099101,0.000424498,0.001489528,0.000346869,0.002275972,0.00040665,0.000303275,0.000608132,0.0000112,0.00086609,0.000684857,-0.0000562,0.000452054,0.000559906,0.000431036,0.000896165,0.00024685,0.00154316,0.000195253,0.000886039,0.000013,0.00051658,0.000572142,0.000912637,0.0000874,0.000457397,0.000632637,0.000689308,0.001251668,0.001440146,0.000768563,0.000746989,0.001336167,0.0000367,0.000745792,0.000834612,0.000841593,-0.0000872,0.00013164,0.000772737,0.000708773,-0.000205517,0.001303532,0.00020934,0.0000302,-0.0000341,-0.00000298,-0.0000794,-0.0000427,-0.0000502,0.00000414,0.0000216,-0.0000464,0.0000261,0.000121753,0.0000617,-0.000000503,0.0000321,0.0000305,-0.0000379,0.0000227,0.0000207,0.000032,-0.0000931,0.0000866,-0.0000685,-0.0000484,-0.000153457,-0.0000267,0.0000281,-0.0000519,0.000187445,-0.0000229,0.000150311,0.000167149,-0.0000576,0.0000365,0.000073,0.000235869,0.00040396,-0.000131366,0.0000439,-0.000295005,0.0000742,0.0000978,0.000132478,0.000330904,0.000054,-0.000100715,-0.0000436,0.000311947,0.000033,0.000132752,-0.000476899,0.00000585,0.000207999,0.000152842,0.000300237,-0.000409841,0.00015452,0.000149857,0.000390279,0.00033087,0.000437434,0.000221366,0.00000609,0.00000351,0.000388763,-0.0000302,0.000104591,0.00071564,0.000176135,0.000115011,-0.000167464,0.000110956,-0.000378889,-0.00020704,0.000200422,0.000283811
NSE:CAIRN,0.0000332,-0.0000477,0.00023607,0.000111954,0.0000763,0.0000534,-0.0000418,-0.00000125,0.0000249,0.0000389,0.000103444,0.00013543,0.0000874,0.0000414,0.000129736,0.000044,-0.0000417,0.0000643,-0.0000429,0.0000484,-0.0000864,0.0000123,0.0000309,0.0000504,0.0000588,0.000127952,0.0000565,0.00000266,-0.0000337,0.000101217,0.000378828,0.00094705,0.000534271,0.000285741,0.000151742,0.000434504,-0.0000557,0.000422644,0.000616773,0.000284311,0.00040665,0.001891738,0.000388239,0.000523585,0.000345057,0.000582386,0.000420562,0.0000905,0.000315688,0.000285705,0.000460383,0.001213823,0.000326087,0.000570514,0.000562177,0.000372095,0.0000229,0.000287999,0.000300962,0.000518243,0.000132287,0.000233466,0.000327038,0.000469014,0.000864057,0.000688664,0.000480841,0.000472719,0.000484923,0.0000898,0.000815247,0.000353976,0.001034158,0.000199231,0.000116609,0.000508678,0.001587207,0.000339229,0.000642744,0.000301357,0.0000456,-0.00000911,0.0000783,0.0000633,0.000027,0.0000349,0.000210262,0.000118476,0.000124638,0.0000588,0.000291596,0.000188717,0.000103848,0.000120431,0.000119729,0.000149763,0.0000198,0.000138873,0.000158083,0.000071,0.000146102,0.0000591,0.0000623,0.0000613,-0.0000216,0.0000322,0.0000267,0.0000546,0.000110644,0.000289233,0.0000178,0.000108659,0.0000559,0.0000551,0.000172061,0.000418396,0.0000469,-0.000133192,-0.000220389,0.000334384,-0.000275916,0.0000495,-0.000160573,0.001033306,-0.000165693,0.000297425,0.0000529,-0.0000839,1.09E-08,-0.001020401,0.000169625,0.000124029,0.000123635,-0.000114231,0.0000739,0.00018751,0.000190205,0.0000655,0.000134168,0.000393818,-0.0000957,-0.000155918,0.000327459,-0.0000257,-0.0000438,0.000114202,0.00062232,0.0000443,-0.00032612,0.0000175,0.00065343,0.000313882,-0.00033656,0.000214515,0.000522932
NSE:CIPLA,-0.000054,-0.0000134,-0.0000676,0.000013,0.00000262,0.000019,0.0000458,0.00000104,0.0000371,-0.000024,0.0000139,0.00000101,0.0000395,0.0000127,0.0000844,-0.0000762,-0.0000566,0.0000203,-0.000000744,0.0000101,-0.0000476,-0.0000226,0.000000801,-0.0000216,-0.0000124,0.00000727,-0.000000726,-0.0000115,-0.0000196,0.0000106,0.000278873,0.000626635,0.000416963,0.00078086,0.000389618,0.000451064,0.00016483,0.000121759,0.000544589,0.000456076,0.000303275,0.000388239,0.001289343,0.000173703,0.000511376,0.000420638,0.000390925,0.000165664,0.000331364,0.000227992,0.000368946,0.000566245,0.000189681,0.000268045,0.000290399,0.000449684,0.0000224,0.000118638,0.000381855,0.0004105,0.000476773,0.00022895,0.000273618,0.000210699,0.000320172,0.000939845,0.000254819,0.000281141,0.000187037,0.000414924,0.000470683,0.000321718,0.000237996,0.000158177,0.000288254,0.000421862,0.000711519,0.000159028,0.000424384,0.000340366,0.00000692,-0.0000223,0.0000453,0.0000921,0.0000163,0.0000502,0.0000488,0.000188668,-0.0000372,0.0000447,0.000119013,0.0000689,-0.0000791,-0.0000649,0.0000568,0.0000476,-0.0000493,0.000267773,0.0000654,0.0000523,0.0000392,0.00000272,-0.0000286,0.00000424,0.0000826,-0.0000111,0.000131351,0.0000102,-0.0000992,-0.00000831,0.0000407,0.00000322,-0.0000078,-0.00017014,0.0000902,0.000100038,0.000120648,-0.000100255,0.0000909,-0.0000721,0.000152977,-0.0000227,0.0000663,-0.000508875,-0.0000178,-0.0000553,0.0000179,0.00019546,-0.000166622,-0.000446837,0.0000759,0.0000609,0.0000409,-0.000114217,-0.000173132,-0.0000376,0.000102249,0.000232472,-0.000147587,0.000142605,-0.000100335,0.000179887,0.000320734,-0.0000143,0.000000883,0.0000287,0.000539542,-0.0000119,-0.000242798,0.00000061,0.000562208,-0.000780908,-0.00027325,-0.000108981,0.000853781
NSE:COALINDIA,-0.0000176,-0.0000292,0.0000641,0.0000365,0.0000705,0.0000341,0.0000512,-0.0000339,-0.00000791,0.000015,0.0000169,0.0000169,-0.000038,-0.0000941,0.0000644,-0.000019,-0.0000683,-0.0000455,0.0000196,-0.0000629,0.0000223,-0.0000759,-0.000105443,-0.0000109,0.00000909,0.0000126,-0.0000102,-0.0000773,0.0000312,0.0000408,0.000360524,0.000854078,0.000325369,0.001618504,0.001188956,0.000285616,0.000698192,0.000423602,0.000824514,0.000383035,0.000608132,0.000523585,0.000173703,0.001761132,0.0000141,0.000472939,0.000328358,-0.00018227,0.000435241,0.000444101,0.000374631,0.000937286,0.000156501,0.000503224,0.000252412,0.000729826,-0.0000565,0.000239119,0.000456671,0.000512963,-0.000031,0.000305527,0.000478386,0.000714408,0.000653832,0.000868558,0.000813949,0.000500627,0.001105554,-0.0000936,0.000502472,0.000678563,0.000790227,-0.0000214,-0.000166515,0.000390877,0.001109785,-0.000185155,0.001075707,0.000346347,-0.000021,-0.0000628,-0.000041,-0.00000971,0.0000252,0.0000403,-0.0000397,0.0000242,0.00000481,0.0000383,0.000211013,0.000000917,0.0000502,-0.000141565,0.0000173,0.0000247,-0.0000134,-0.000150684,0.000000231,-0.00014906,0.0000141,-0.00000167,-0.0000348,-0.000105072,-0.0000993,-0.0000671,-0.0000866,0.0000747,-0.00000141,-0.0000392,-0.0000707,-0.0000216,-0.0000082,0.0000376,-0.000119573,0.001430171,-0.000136603,-0.000109106,-0.000285635,0.00000677,0.0000321,-0.0000927,0.000125032,0.000130336,-0.000477751,-0.000276259,0.0000269,-0.000225753,-0.0000875,-0.000491568,0.0000465,-0.0000366,-0.00010865,-0.0000103,-0.000486611,0.0000296,0.000103442,-0.0000783,0.0000837,-0.0000921,-0.000273288,-0.000259088,0.000405772,0.0000767,-0.0000129,-0.000128066,0.00000522,0.000141666,-0.000495423,-0.000123849,0.000259874,-0.000978294,-0.000179603,0.000178747,0.000190292
NSE:DRREDDY,-0.0000742,-0.0000108,-0.000132581,0.0000382,-0.000103543,-0.0000594,-0.0000722,-0.0000424,-0.00000323,-0.000240371,0.0000507,-0.0000391,-0.000150066,-0.000012,0.0000319,-0.000198025,-0.0000232,-0.0000806,-0.0000541,0.00000633,-0.000141962,0.0000147,-0.00000399,-0.0000522,-0.0000174,-0.00012797,-0.00000629,-0.00000862,-0.0000236,0.0000127,0.000164444,0.000591905,0.000124373,0.00046092,-0.0000142,0.000365345,0.0000735,-0.00000875,0.000246612,0.000370146,0.0000112,0.000345057,0.000511376,0.0000141,0.001690785,0.000085,0.000224486,0.000280413,0.00024285,0.000209534,0.000253388,0.000385719,0.000188454,0.00082276,0.000187807,0.000228595,0.000273591,0.000282864,0.000285912,0.000347587,0.00041536,0.000323063,0.0000384,-0.0000895,0.000103405,0.000667325,0.0000577,0.0001454,-0.000094,0.000594388,0.000323261,0.0000823,0.000191565,0.000306014,0.000317938,0.000183157,0.000419619,0.000293771,0.0000953,0.000287088,-0.0000658,0.0000129,-0.0000157,-0.00000246,-0.0000571,-0.0000608,-0.0000513,0.000106464,-0.00010629,-0.0000125,0.000110307,-0.0000241,0.0000234,-0.0000908,-0.0000883,-0.0000097,-0.000104825,0.000200405,0.000000998,-0.0000341,-0.0000338,0.0000523,-0.0000163,-0.0000582,-0.0000229,0.0000514,-0.0000729,-0.00000564,-0.0000176,0.0000955,-0.00009,0.0000155,-0.0000858,-0.0000755,0.000102694,0.000369908,-0.000326373,0.000355506,-0.0000852,0.000127714,-0.000231177,0.000000839,0.000126308,-0.000366815,0.000082,0.000121232,0.000202422,0.0000939,-0.000176166,-0.000270979,-0.0000276,-0.000059,-0.0000491,-0.0000528,-0.0000631,-0.000153761,-0.0000684,0.000111679,-0.000111457,0.000261141,-0.0000555,0.000122412,0.000257798,0.0000946,-0.0000969,-0.000000995,0.000229595,-0.0000481,-0.000326603,-0.000013,0.000435035,0.000185915,-0.000261336,-0.0000265,0.000520011
NSE:GAIL,-0.0000684,0.00000206,-0.000136812,0.00000739,-9.86E-08,0.0000867,-0.000176245,0.0000193,0.0000833,0.0000631,0.0000767,-1.48E-08,0.0000687,-0.0000441,0.000110091,-0.0000507,-0.0000269,-0.0000741,-0.0000769,-0.0000968,-0.0000849,-0.000107909,-0.0000932,-0.0000242,-0.0000593,0.0000174,-0.000071,-0.0000597,-0.0000175,0.00000647,0.000542424,0.000563452,0.000582312,0.0008714,0.000923437,0.000583897,0.000919964,0.000500053,0.001188001,0.000292152,0.00086609,0.000582386,0.000420638,0.000472939,0.000085,0.001822252,0.000505436,0.000138243,0.000631862,0.000472446,0.000487472,0.000953028,0.0000628,0.001215082,0.000351066,0.000681902,0.0000987,0.000320788,0.000448296,0.000786853,0.0000677,0.000386986,0.000541542,0.000625541,0.000830482,0.000742941,0.000564316,0.000597278,0.001309368,-0.00000643,0.000754546,0.000779528,0.000891865,0.000246238,0.000283893,0.000584089,0.001111205,0.0000148,0.000967837,0.000368762,-0.0000129,0.0000162,0.0000536,-0.0000573,-0.00000613,-0.0000639,0.000147956,0.0000266,0.0000491,0.000105288,0.0000349,0.0000332,0.0000123,-0.000118189,-0.000105501,0.00013519,-0.0000633,0.000107608,0.0000472,-0.000108815,0.0000529,-0.0000238,0.0000109,-0.0000576,0.0000261,0.0000904,-0.0000554,0.0000508,-0.0000136,0.000107346,0.0000226,0.000111657,0.00000232,-0.00010247,0.000148957,0.00041004,0.0000877,-0.000135648,-0.0000816,-0.00000477,-0.0000627,-0.000114978,0.000201755,0.00032255,0.0000937,0.0000244,0.0000577,0.000290349,0.000205564,-0.000402662,0.0000501,0.0000755,0.0000108,-0.0001272,-0.000245617,0.0000603,0.00028792,-0.0000622,0.0001664,0.000057,-0.0000668,0.00000609,-0.0000996,0.00010042,-0.00000566,0.0000435,0.000525824,0.000122941,0.0000472,-0.000382862,0.0000689,-0.000617702,-0.000210559,0.00015234,-0.0000598
NSE:GRASIM,0.0000954,0.0000255,-0.0000431,0.000171347,-0.000005,0.000105741,0.0000952,0.0000771,0.000120613,0.0000163,0.000129946,0.000106755,0.000121965,0.000084,0.0000964,0.0000114,0.0000748,0.0000394,0.0000736,0.0000478,-0.0000266,0.0000792,-0.00000437,0.0000419,0.000106861,0.0000224,0.0000128,0.0000663,0.000124712,0.00000886,0.000823635,0.00059819,0.000786382,0.001230601,0.00099273,0.000510129,0.000650451,0.000455162,0.000851225,0.000346125,0.000684857,0.000420562,0.000390925,0.000328358,0.000224486,0.000505436,0.001129385,0.000119567,0.0003938,0.000543662,0.000488794,0.000677792,0.000316545,0.000985396,0.000451558,0.000701841,-0.000031,0.00038871,0.000618613,0.000831274,0.000336643,0.000441125,0.000519581,0.000392606,0.000514415,0.000869687,0.000465565,0.000419963,0.000890054,0.000248805,0.000591082,0.000546154,0.000614023,0.0000976,0.000228368,0.000885397,0.000644594,0.0000478,0.001120975,0.000252632,-0.00000956,-0.0000593,-0.0000528,-0.000047,0.00000902,-0.0000669,0.000013,0.000125584,-0.0000367,0.0000782,0.000169622,0.0000761,-0.0000202,0.000043,-0.00000917,0.0000283,-0.0000416,0.000151766,0.000104435,-0.0000322,0.0000335,-0.00000208,0.0000435,0.0000946,-0.000028,0.0000637,-0.0000643,0.0000457,-0.0000278,0.0000864,0.000106961,0.0000882,0.0000498,-0.0000704,0.0000937,0.000195966,-0.0000947,0.0000941,-0.000302229,0.0000444,0.000160778,-0.0000236,0.000207895,0.000111895,-0.000239627,0.000149742,0.000178431,0.000210348,0.000163937,-0.00070995,0.000119352,0.000154365,0.000171967,0.000100623,0.000129235,0.000141604,0.000139571,0.000335225,0.000217831,0.000174888,0.0000455,0.0000778,0.00016566,0.000107387,0.0000411,0.000185601,0.000243377,0.000155219,-0.00010754,-0.00012479,0.000198609,-0.000261929,-0.000173004,0.000214828,0.000513723
